Pattern String,Pattern Category,predicted_predicate
Enter your email VIEW MY CODE OFFER EXPIRES IN: 0 minutes 00 seconds EXTRA 10% OFF,Urgency,"display_urgency_message(ui_element, prominence_level)"
YOUR CART IS ELIGIBLE FOR AN ADDITIONAL 10% OFF Including Current Promotions + Sale & Clearance 00 hours :29 minutes :26 seconds CHECK OUT NOW,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Save 25% on your entire order 09 Hours 57 Minutes 34Seconds use code: SPRING25""",Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 08:53 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Sale ending in 0 days 04 hours 12 minutes 10 seconds,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 19:57 minutes.,Urgency,"display_urgency_message(ui_element, prominence_level)"
00 DAYS 00 HOURS 29 MINUTES 26 SECONDS,Urgency,"inject_fake_timer(ui_element, animation_state)"
Discount pending $10 OFF 00:30:00,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order will be reserved for 6:56 minutes.,Urgency,"display_urgency_message(ui_element, prominence_level)"
02:06:40 left to buy,Urgency,"display_urgency_message(ui_element, prominence_level)"
Special sale ends in,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:35 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
0011Days:0088Hours:4411Minutes:21125445Seconds,Urgency,"inject_fake_timer(ui_element, animation_state)"
FLASH 19:15:22,Urgency,"display_urgency_message(ui_element, prominence_level)"
02 DAYS :23 HOURS :00 MINS :54 SECS,Urgency,"inject_fake_timer(ui_element, animation_state)"
Please Order Within: 0 0 : 0 2 : 4 1 : 10 65,Urgency,"inject_fake_timer(ui_element, animation_state)"
Explosive Offers! 80% Off Everything 07:25:41,Urgency,"display_urgency_message(ui_element, prominence_level)"
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing ,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is prioritized for 13:22 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:35 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME LEFT! 00 : 46 : 11,Urgency,"display_urgency_message(ui_element, prominence_level)"
00 HRS 57 MINS 56 SECS,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
2 DAYS 13:06:13,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
Sale Ends in 5 days 14 hours 42 mins 53 sec,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Hurry! Sale Ends In:

02:59:50",Urgency,"display_urgency_message(ui_element, prominence_level)"
Spring Sale Extended,Urgency,"display_urgency_message(ui_element, prominence_level)"
ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds,Urgency,"display_urgency_message(ui_element, prominence_level)"
2day 13:49:51 Left,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
Days left until the offer ends: 00 Days 04:43:35,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your cart is reserved for 14:05 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
"SALE ENDS IN 19 DAYS, 9 HOURS, 50 MINUTES, 54 SECONDS",Urgency,"display_urgency_message(ui_element, prominence_level)"
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Urgency,"display_urgency_message(ui_element, prominence_level)"
Checkout within 04:10 so we don't run out of stock!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Deal expires in: 03 hrs 25 mins 22 sec,Urgency,"display_urgency_message(ui_element, prominence_level)"
1day21:04:58,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
1day21:04:58,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
-90% discount if you order within 9:55:44,Urgency,"display_urgency_message(ui_element, prominence_level)"
OFFER EXPIRES IN: YES NO Want 10% Off Your First Order? 7 minutes 35 seconds,Urgency,"inject_fake_timer(ui_element, animation_state)"
Order in 13:16 to get $200 off your mattress,Urgency,"display_urgency_message(ui_element, prominence_level)"
60% OFF ENDS IN DAYS HOURS MINUTES SECONDS,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
00:15:07:45,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
BE QUICK 00:57:33 DON'T MISS OUT,Urgency,"display_urgency_message(ui_element, prominence_level)"
VIP OFFERS END 00:54:59,Urgency,"display_urgency_message(ui_element, prominence_level)"
Offer ends in 15hrs 1min 56sec!,Urgency,"display_urgency_message(ui_element, prominence_level)"
3Days01:49:51 Left,Urgency,"inject_fake_timer(ui_element, animation_state)"
Your order is reserved for 09:58 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
activate within 10:00,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your Cart Will Expire In 09:58 minutes!Please note that these items may not be available again if you release them.,Urgency,"display_urgency_message(ui_element, prominence_level)"
0:44:56,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
Hurry Up ! Time is running out,Urgency,"display_urgency_message(ui_element, prominence_level)"
Hurry! Sale ends in:,Urgency,"display_urgency_message(ui_element, prominence_level)"
4 days 05:46:20,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
Complete your purchase within the next 12:18 minutes and receive 10% off,Urgency,"display_urgency_message(ui_element, prominence_level)"
HAUTELOOK 04:53,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Offer ends 0Hours:04Minutes:46Seconds,Urgency,"inject_fake_timer(ui_element, animation_state)"
25% OFF* ENDS IN 00 : 12 : 27 : 15 DAYS HRS. MIN. SEC.,Urgency,"display_urgency_message(ui_element, prominence_level)"
3DAYS124606,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
3DAYS124606,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
Items will be reserved in your cart for 19:10,Urgency,"display_urgency_message(ui_element, prominence_level)"
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Items will be reserved in your cart for 19:10,Urgency,"display_urgency_message(ui_element, prominence_level)"
Offer ends in,Urgency,"display_urgency_message(ui_element, prominence_level)"
You left 2 items in your bag Released in: 29 minutes :07 seconds,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Wait! YOUR CART QUALIFIES FOR 15% OFF YOUR ENTIRE ORDER. Offer Expires in: 2955,Urgency,"display_urgency_message(ui_element, prominence_level)"
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,Urgency,"display_urgency_message(ui_element, prominence_level)"
Flash Sale ends in SHOP NOW  ,Urgency,"display_urgency_message(ui_element, prominence_level)"
DEAL ENDS IN 40:55:13,Urgency,"display_urgency_message(ui_element, prominence_level)"
DEAL ENDS IN 40:55:13,Urgency,"display_urgency_message(ui_element, prominence_level)"
Offer ends in 9hrs 55min 29sec!,Urgency,"display_urgency_message(ui_element, prominence_level)"
HURRY! DON'T MISS THIS DEAL! DAYS 0 1 HRS 1 2 MINS 3 1 SECONDS,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 07:28 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Order in 14:53 to get 2 pillows for free,Urgency,"display_urgency_message(ui_element, prominence_level)"
HURRY! ENDS IN: 10 HRS 40 MIN 00 SEC,Urgency,"display_urgency_message(ui_element, prominence_level)"
Flash Sale - Almost Over! 00 HOURS : 55 1001 MINUTES : 0550 8778 SECONDS,Urgency,"inject_fake_timer(ui_element, animation_state)"
LAST CHANCE - UP TO 70% OFF - ENDS IN: 20 HRS 28 MINS 30 SECS,Urgency,"display_urgency_message(ui_element, prominence_level)"
1DAYS 04 HOURS 17 MINUTES 18 SECONDS,Urgency,"inject_fake_timer(ui_element, animation_state)"
HURRY! YOUR 10% OFF EXPIRES IN 29:43,Urgency,"display_urgency_message(ui_element, prominence_level)"
Offer ends in 03 days 19 hours : 54 mins : 22 secs,Urgency,"display_urgency_message(ui_element, prominence_level)"
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN  16H 59M 06S,Urgency,"display_urgency_message(ui_element, prominence_level)"
"HURRY, ORDER WITHIN 16h 59m 06s TO GET 35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35",Urgency,"display_urgency_message(ui_element, prominence_level)"
LAST CHANCE TO SAVE... enter your email to Save 20% on your first order 00 hours :29 minutes :43 seconds,Urgency,"display_urgency_message(ui_element, prominence_level)"
DAYS HRS MINS SECS,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
OFFER ENDS 00:54:59,Urgency,"display_urgency_message(ui_element, prominence_level)"
HURRY! ENDS IN: 11 HRS 20 MIN 13 SEC,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order has been reserved for,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Ends in 1 Days, 4 Minutes, 44 Seconds",Urgency,"display_urgency_message(ui_element, prominence_level)"
OFFER ENDS: 09h: 09m: 55s: 0 ,Urgency,"display_urgency_message(ui_element, prominence_level)"
HURRY UP > 09H 42M 39S,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:43 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Items reserved for 15:00,Urgency,"display_urgency_message(ui_element, prominence_level)"
Get 20% off Sample Doors! ×Offer Ends In 58 : 29 Use Promo Code sample20off,Urgency,"display_urgency_message(ui_element, prominence_level)"
Massive Tax Time Sale See Discounts! Sale ends in,Urgency,"display_urgency_message(ui_element, prominence_level)"
1 day 08:15:25,Urgency,"reset_countdown_timer(ui_element, default_configuration)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
SAVE 10% On All Orders. No Voucher Code Needed Expires in 18:07:59.,Urgency,"display_urgency_message(ui_element, prominence_level)"
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:35 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Hurry, Limited Time Offer! 11:25",Urgency,"display_urgency_message(ui_element, prominence_level)"
Time remaining: 04:50,Urgency,"inject_fake_timer(ui_element, animation_state)"
Price Guaranteed For DAYS/HRS/MINS/SECS,Urgency,"inject_fake_timer(ui_element, animation_state)"
Your order is reserved for 09:45 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Your order is reserved for 09:35 minutes!,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Hurry, Sale ends in 9 Hours!",Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED OFFER: $125 Off + 2 Free Pillows,Urgency,"display_urgency_message(ui_element, prominence_level)"
Sale ends soon,Urgency,"display_urgency_message(ui_element, prominence_level)"
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Here for a limited time. 4.5"" Red Bottle Sticker w/ Adam's Logo",Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Urgency,"display_urgency_message(ui_element, prominence_level)"
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Flash Sale Alert! You can now buy Utorch Corridor Porch Aisle Lights from Gearbest.com for only $7.99 (47% off). Hurry up, limited time offer!",Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Offer,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited time offer,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited time offer,Urgency,"display_urgency_message(ui_element, prominence_level)"
"LIMITED TIME - BUY THE NEW PURPLE PLUSH PILLOW, GET ONE FREE",Urgency,"display_urgency_message(ui_element, prominence_level)"
"Now 30% off - hurry, limited time offer!",Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME DEAL!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Wait! Take 10% off Your First Order Deal Expires Soon!,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME SALE,Urgency,"display_urgency_message(ui_element, prominence_level)"
ONLY AVAILABLE FOR A LIMITED TIME,Urgency,"display_urgency_message(ui_element, prominence_level)"
50% OFF for Limited Time Only!!!,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Only available for a LIMITED TIME, so get yours TODAY!",Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME OFFER! FREE SHIPPING OVER $99 + FREE RETURNS*,Urgency,"display_urgency_message(ui_element, prominence_level)"
Ends Sunday! $200 off any mattress . free shipping & free returns!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Act now and save $12.99. Limited time only!,Urgency,"display_urgency_message(ui_element, prominence_level)"
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",Urgency,"display_urgency_message(ui_element, prominence_level)"
(LIMITED TIME OFFER) TORSION GUN HOLSTER SUPER COMBO,Urgency,"display_urgency_message(ui_element, prominence_level)"
ON SALE AT $1.99 FOR A LIMITED TIME,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME: FREE SHIPPING LOWERED TO ORDERS OVER $69.95!,Urgency,"display_urgency_message(ui_element, prominence_level)"
"LIMITED TIME OFFER 10% OFF - ENTER CODE \""CASES\"" AT CHECKOUT",Urgency,"display_urgency_message(ui_element, prominence_level)"
Sale ends soon:,Urgency,"display_urgency_message(ui_element, prominence_level)"
FOR A LIMITED TIME ONLY,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Promo $194.00,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Offer!,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME ONLY: FREE SHIPPING TO SELECT COUNTRIES ON ORDERS OVER $100!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time,Urgency,"display_urgency_message(ui_element, prominence_level)"
$69.50 For A Limited Time Details,Urgency,"display_urgency_message(ui_element, prominence_level)"
FLASH SALE | LIMITED TIME ONLY Shop Now,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Sale - Buy Now!,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,Urgency,"display_urgency_message(ui_element, prominence_level)"
SLEEP EVENT OFFERS - LIMITED TIME ONLY,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time: $10 Off! Discount Reflected In Price!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited time offer,Urgency,"display_urgency_message(ui_element, prominence_level)"
Full HD 144Hz IPS Anti-Glare (1920 x 1080) FREE Upgrade (Limited time offer!),Urgency,"display_urgency_message(ui_element, prominence_level)"
On Sale! Limited Time Offer!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Offer,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Offer,Urgency,"display_urgency_message(ui_element, prominence_level)"
FREE SHIPPING // FOR A LIMITED TIME ONLY,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Offers,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited time remaining!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Remaining!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited time - final price reflects extra 29% off,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME! - Save $5 OFF Orders $70+ Coupon: SAVE5 - PLUS - Free Gift on Orders $125+,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME ONLY!,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME ONLY,Urgency,"display_urgency_message(ui_element, prominence_level)"
Free Shipping On Orders Over $49* - Limited Time Only,Urgency,"display_urgency_message(ui_element, prominence_level)"
HURRY! £32.99 UK DELIVERY ENDS SOON,Urgency,"display_urgency_message(ui_element, prominence_level)"
"$3,159.20 $3,949.00 Limited time only",Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Offer: 10% Off your first order!,Urgency,"display_urgency_message(ui_element, prominence_level)"
FRAMON #2 Code Machine Offer - Limited time offer!,Urgency,"display_urgency_message(ui_element, prominence_level)"
STOCK IS GUARANTEED FOR 60 MINUTES,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Hurry, before it is gone! Limited time remaining!",Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME ONLY!,Urgency,"display_urgency_message(ui_element, prominence_level)"
ON SALE: Select Seasonal T-Shirts only $19.99! Limited time only! Save Now!,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME OFFER!,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME ONLY *on select models,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Offer Limited Offer! 15% off on Naomi Home with Coupon 9N03. You pay $63.74,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time!,Urgency,"display_urgency_message(ui_element, prominence_level)"
Free Shipping. Limited Time Only. for orders over $50,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited time - Free Shipping on all orders*,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Offer!,Urgency,"display_urgency_message(ui_element, prominence_level)"
25% OFF SELECTED JACKETS Limited Time,Urgency,"display_urgency_message(ui_element, prominence_level)"
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING OVER $80 HURRY! LIMITED TIME ONLY,Urgency,"display_urgency_message(ui_element, prominence_level)"
40% OFF EVERYTHING* ENTER: 40PLT + FREE SHIPPING ON ALL ORDERS OVER $80 ,Urgency,"display_urgency_message(ui_element, prominence_level)"
On Sale! Limited Time Offer!,Urgency,"display_urgency_message(ui_element, prominence_level)"
SAVE $300.00\nfor limited time,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Now 20% off, hurry limited time offer!",Urgency,"display_urgency_message(ui_element, prominence_level)"
Site Wide Savings for the Entire Family! Pricing is off Rogan's Shoes every day Low Prices! Prices are already reflected on the site. Limited time only! Restrictions apply. Online Only.,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited time offer.,Urgency,"display_urgency_message(ui_element, prominence_level)"
Hot Offer. Limited Time,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME OFFER,Urgency,"display_urgency_message(ui_element, prominence_level)"
LAYAWAY SALE WE WILL MATCH YOUR INITIAL PAYMENT. LIMITED TIME ONLY,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Limited time only: FREE SHIPPING on all orders, no minimum required!",Urgency,"display_urgency_message(ui_element, prominence_level)"
20% OFF VALENTINE\u2019S DAY FAVOURITES * | LIMITED TIME ONLY,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Only · Online Only,Urgency,"display_urgency_message(ui_element, prominence_level)"
LIMITED TIME ONLY 10 OFF 50 SPEND NEW CUSTOMERS ONLY - TERMS & CONDITIONS APPLY,Urgency,"display_urgency_message(ui_element, prominence_level)"
Limited Time Only! 20% Off,Urgency,"display_urgency_message(ui_element, prominence_level)"
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Urgency,"display_urgency_message(ui_element, prominence_level)"
"Rs 4,013 (Retail Discount) + Rs 2,997 (Limited Time Coupon)",Urgency,"display_urgency_message(ui_element, prominence_level)"
SAVE TODAY: Save 20% on lighting by Le Klint. Limited time only.,Urgency,"display_urgency_message(ui_element, prominence_level)"
