Pattern String,Pattern Category,predicted_predicate
"An item you ordered is in high demand. No worries, we have reserved your order.",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Hurry, this style is selling fast!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
In demand,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Due To HIGH Demand, Cart Expires In: 08:41",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Selling Fast,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"Hurry, this style is selling fast!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 units left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Low Stock – Selling Fast,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Limited Stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 4 LEFT IN STOCK,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
4 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Low In Stock Today,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
ONLY 3 LEFT IN STOCK.,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 9 items left!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 4 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"894 Claimed! Hurry, only a few left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 unit left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
ONLY 1 LEFT! GET IT NOW!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Limited Stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
We have 1 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 15 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 8 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 14 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
89% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 4 LEFT!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
HURRY! ONLY 19 LEFT IN STOCK.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"Order now, only 2 left in stock!",Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Low in stock: only 1 left.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
96 ITEM(S) LEFT IN STOCK!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"Hurry, only 3 left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Less than 10 left in stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Availability: Low in stock today,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Limited Quantity,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Limited stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
HURRY! Only a few left in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
80% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 11 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 14 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 14 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Pre-order 3 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 6 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 32 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only few items left in stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 1 LEFT IN STOCK!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 units left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 7 LEFT!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 Left in this Size!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
There is only one product left!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Limited Stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 units left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Low in stock: only 1 left.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 69 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
HURRY! ONLY 2 LEFT IN STOCK!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
83% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 4 LEFT!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left In Stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 8 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 4 left at this price,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 unit left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
90% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Left in Stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 4 copies left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Low in stock: only 1 left.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Status:Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
87% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
9 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
6 items left! Order soon.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
HURRY ONLY 9 LEFT IN STOCK!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock - Order soon,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
*Only 2 left in stock. Don't miss out!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Limited stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 3 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only one item left in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 item left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only one item left in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only one item left in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 8 items left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 82 left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 4 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock! Get in quick!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
LESS THAN 5 LEFT!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
1 LEFT,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
3 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 9 Left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 14 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
1 left at this price,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 3 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
23% left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 1 LEFT! GET IT NOW!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
83% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 5 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 3 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 2 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 Left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 34 Left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
LOW IN STOCK!! GET YOURS NOW,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
74% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 5 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
1 LEFT IN THIS SIZE,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 3 LEFT! GET IT NOW!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
1 item left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Hurry, only 1 left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only 2 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"HURRY, THERE ARE ONLY 9 ITEM(S) LEFT!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only 1 left in stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in online stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Hurry! Only 1 left in stock,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Size low on stock, only 1 item left",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 8 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Hurry! Only 2 left at this price!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 52 items left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Over 500 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Hurry only 8 items left!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
72% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Left !,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 items left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 Left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
LIVE REMAINING STOCK,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
HURRY! LESS THAN 129 LEFT.,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Hurry, only a few left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 9 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left.,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 7 in Stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"Don't miss out, only 2 left in stock",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 5 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 4 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
only 2 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Limited Quantity Available,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only 3 Left In Stock.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Hurry up! Only 11 items left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 3 Left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 1 LEFT,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 3 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 stock available,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 2 LEFT IN STOCK!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
5 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"Hurry, only 2 left in stock!",Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only a few of these left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry Up! Only 1 Piece Left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 8 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"Hurry, only 1 left!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 5 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Hurry only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Item(s) left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
1 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 33 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
70% offers claimed. Hurry up!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 5 LEFT IN STOCK,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 1 LEFT IN THIS SIZE,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 5 LEFT,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 Left in Stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
(Only 5 Left),Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 6 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Last 1 in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 16531 items left in stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
only 5 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 8 LEFT,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 498 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
only 1 in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
WARNING! Only 5 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 7 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 left in stock.,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Don't miss out on this item! There is only 1 left in stock.,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 5 item(s) left.,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 Item Left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 item left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 5 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 5 LEFT IN STOCK!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"Only 1 left , In Stock",Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 4 LEFT IN STOCK,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Limited stock!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"HURRY, ONLY 1 LEFT!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 1 LEFT,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 1 LEFT,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 1 LEFT,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 Left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 4 LEFT IN STOCK,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
ONLY 3 LEFT,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
"1 left, order now!",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
18 In Stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
3 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 Left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 3 left In Stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
JUST 1 LEFT!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 1 LEFT,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
LESS THAN 8 LEFT IN STOCK!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 4 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"Hurry, Only 4 Left In Stock. Buy Now!",Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Availability: Low Stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Availability: Only 1 Left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Only 2 left, order soon",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Only 2 left, order soon",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Only 3 left, order soon",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Only 3 left, order soon",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 6 left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Limited stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 3 left in stock,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 Left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 2 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 2 items left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 7 left!,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Limited stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 Left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
only 5 left in stock!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Warning: Last items in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Fewer than 5 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Fewer than 5 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only 15 left!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
"Don't snooze, only 1 left",Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Hurry! Only 2 left!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Hurry! Only 7 left,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 2 left.,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Limited quantity available,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Limited quantity remaining,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Last one available,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Limited quantity remaining,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
Only 1 products left,Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
"In stock, only 1 products left",Scarcity,"display_fake_stock_counter(ui_element, stock_counter)"
Limited quantity! ,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
Only 1 left in stock,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
HURRY! 3 left in stock!,Scarcity,"inject_misleading_demand_message(ui_element, demand_message)"
ONLY 1 LEFT IN STOCK!,Scarcity,"simulate_high_demand(ui_element, sales_counter)"
